Filename	Artist	Album	Year	Trackno	Title
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t28.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	28	band introduction
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t29.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	29	Travelin' Light
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t30.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	30	We Won't Go Back
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t31.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	31	Hey Delilah
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 01 The First Rebreather.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	1	The First Rebreather
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 02 Master James of St George.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	2	Master James of St George
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 03 Judas Unrepentant.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	3	Judas Unrepentant
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 04 Uncle Jack.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	4	Uncle Jack
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 05 Wind Distorted Pioneers.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	5	Wind Distorted Pioneers
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 06 Summoned by Bells.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	6	Summoned by Bells
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 07 Kingmaker.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	7	Kingmaker
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 08 The Underfall Yard.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	8	The Underfall Yard
c:\music\Big Big Train\Big Big Train - From Stone and Steel (hi-resolution audio)\Big Big Train - From Stone and Steel (hi-resolution audio) - 09 Victorian Brickwork.flac	Big Big Train	From Stone and Steel                           (hi-resolution audio)	2016	9	Victorian Brickwork
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\A Boy in Darkness-09.flac	Big Big Train	English Electric: Full Power	2013	9	A Boy in Darkness
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Edgelands-06.flac	Big Big Train	English Electric: Full Power	2013	6	Edgelands
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Hedgerow-10.flac	Big Big Train	English Electric: Full Power	2013	10	Hedgerow
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Make Some Noise-01.flac	Big Big Train	English Electric: Full Power	2013	1	Make Some Noise
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Seen Better Days-05.flac	Big Big Train	English Electric: Full Power	2013	5	Seen Better Days
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Summoned by Bells-07.flac	Big Big Train	English Electric: Full Power	2013	7	Summoned by Bells
